"Geometria-TP1","a103626","a103626","a103626","."
"Geometria-TP1","a108401","a108401","a108401","."
"Geometria-TP1","a108658","a108658","a108658","."
"Geometria-TP1","a94374","a94374","a94374","."
"Geometria-TP1","a108559","a108559","a108559","."
"Geometria-TP1","a96291","a96291","a96291","."
"Geometria-TP1","a108566","a108566","a108566","."
"Geometria-TP1","a100073","a100073","a100073","."
"Geometria-TP1","a91691","a91691","a91691","."
"Geometria-TP1","a108663","a108663","a108663","."
"Geometria-TP1","a108847","a108847","a108847","."
"Geometria-TP1","a108564","a108564","a108564","."
"Geometria-TP1","a108397","a108397","a108397","."
"Geometria-TP1","a108648","a108648","a108648","."
"Geometria-TP1","a108573","a108573","a108573","."
"Geometria-TP1","a100058","a100058","a100058","."
"Geometria-TP1","a108484","a108484","a108484","."
"Geometria-TP1","a105943","a105943","a105943","."
"Geometria-TP1","a102054","a102054","a102054","."
"Geometria-TP1","a108471","a108471","a108471","."
"Geometria-TP1","a108654","a108654","a108654","."
"Geometria-TP1","a108651","a108651","a108651","."
"Geometria-TP1","a53971","a53971","a53971","."
"Geometria-TP1","a108477","a108477","a108477","."
"Geometria-TP1","a16326","a16326","a16326","."
"Geometria-TP1","a108661","a108661","a108661","."
"Geometria-TP1","a108479","a108479","a108479","."
"Geometria-TP1","a100100","a100100","a100100","."
"Geometria-TP1","a108486","a108486","a108486","."
"Geometria-TP1","a94879","a94879","a94879","."
"Geometria-TP1","a104244","a104244","a104244","."
"Geometria-TP1","a109066","a109066","a109066","."
"Geometria-TP1","a102944","a102944","a102944","."
"Geometria-TP1","a108574","a108574","a108574","."
"Geometria-TP1","a108396","a108396","a108396","."
"Geometria-TP1","a109068","a109068","a109068","."
"Geometria-TP1","a108565","a108565","a108565","."
"Geometria-TP1","a108394","a108394","a108394","."
"Geometria-TP1","a108575","a108575","a108575","."
"Geometria-TP1","a98979","a98979","a98979","."
"Geometria-TP2","a108392","a108392","a108392","."
"Geometria-TP2","a108568","a108568","a108568","."
"Geometria-TP2","a105854","a105854","a105854","."
"Geometria-TP2","a108393","a108393","a108393","."
"Geometria-TP2","a108488","a108488","a108488","."
"Geometria-TP2","a109069","a109069","a109069","."
"Geometria-TP2","a104872","a104872","a104872","."
"Geometria-TP2","a105856","a105856","a105856","."
"Geometria-TP2","a108578","a108578","a108578","."
"Geometria-TP2","a108579","a108579","a108579","."
"Geometria-TP2","a108571","a108571","a108571","."
"Geometria-TP2","a108400","a108400","a108400","."
"Geometria-TP2","a108653","a108653","a108653","."
"Geometria-TP2","a108567","a108567","a108567","."
"Geometria-TP2","a105751","a105751","a105751","."
"Geometria-TP2","a108483","a108483","a108483","."
"Geometria-TP2","a108489","a108489","a108489","."
"Geometria-TP2","a108470","a108470","a108470","."
"Geometria-TP2","a108649","a108649","a108649","."
"Geometria-TP2","a108473","a108473","a108473","."
"Geometria-TP2","a108560","a108560","a108560","."
"Geometria-TP2","a108490","a108490","a108490","."
"Geometria-TP2","a108580","a108580","a108580","."
"Geometria-TP2","a108577","a108577","a108577","."
"Geometria-TP2","a108840","a108840","a108840","."
"Geometria-TP2","a108395","a108395","a108395","."
"Geometria-TP2","a97317","a97317","a97317","."
"Geometria-TP2","a108561","a108561","a108561","."
"Geometria-TP2","a108399","a108399","a108399","."
"Geometria-TP2","a108485","a108485","a108485","."
"Geometria-TP2","a108659","a108659","a108659","."
"Geometria-TP2","a108482","a108482","a108482","."
"Geometria-TP2","a108572","a108572","a108572","."
"Geometria-TP2","a108650","a108650","a108650","."
"Geometria-TP2","a108662","a108662","a108662","."
"Geometria-TP2","a100070","a100070","a100070","."
"Geometria-TP2","a108475","a108475","a108475","."
"Geometria-TP2","a108656","a108656","a108656","."
"Geometria-TP2","a105728","a105728","a105728","."
"Geometria-TP2","a108472","a108472","a108472","."
"Geometria-TP2","a108481","a108481","a108481","."
"Geometria-TP2","a108652","a108652","a108652","."
"Geometria-TP2","a104616","a104616","a104616","."
"Geometria-TP2","a108469","a108469","a108469","."
"Geometria-TP2","a108647","a108647","a108647","."
"Geometria-TP2","a108657","a108657","a108657","."
"Geometria-TP2","a108558","a108558","a108558","."
"Geometria-TP2","a108563","a108563","a108563","."
"Geometria-TP2","a108655","a108655","a108655","."
"Geometria-TP2","a109067","a109067","a109067","."
"Geometria-TP2","a108576","a108576","a108576","."
"Geometria-TP2","a105735","a105735","a105735","."
"Geometria-TP2","a108476","a108476","a108476","."
"Geometria-TP2","a108570","a108570","a108570","."
"Geometria-TP2","a80263","a80263","a80263","."
"Geometria-TP2","a108478","a108478","a108478","."
"Geometria-TP2","a108398","a108398","a108398","."
"Geometria-TP2","a109065","a109065","a109065","."
